platform_a,platform_b,metric,rate_a,rate_b,percentage_point_difference,rate_ratio
TikTok,YouTube,automated_detection_rate,0.97252252,0.98886071,-1.6338,0.9835
TikTok,YouTube,fully_automated_decision_rate,0.9243624,0.49797466,42.6388,1.8562
TikTok,YouTube,decision_with_any_automation_rate,0.92436972,0.54672107,37.7649,1.6908
TikTok,Instagram,automated_detection_rate,0.97252252,0.95530791,1.7215,1.018
TikTok,Instagram,fully_automated_decision_rate,0.9243624,0.0,92.4362,
TikTok,Instagram,decision_with_any_automation_rate,0.92436972,0.95530791,-3.0938,0.9676
YouTube,Instagram,automated_detection_rate,0.98886071,0.95530791,3.3553,1.0351
YouTube,Instagram,fully_automated_decision_rate,0.49797466,0.0,49.7975,
YouTube,Instagram,decision_with_any_automation_rate,0.54672107,0.95530791,-40.8587,0.5723
