platform,category,action,represented_sors,action_numerator,action_prevalence,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_CYBER_VIOLENCE,MONETARY_SUSPENSION,142313,0,0.0,0.00153427,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,ACCOUNT_TERMINATED,8463282,8441041,0.99737206,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_REMOVED,8463282,22238,0.00262759,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_DISABLED,8463282,3,3.5e-07,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,VISIBILITY_OTHER,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_AGE_RESTRICTED,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_DEMOTED,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_INTERACTION_RESTRICTED,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,CONTENT_LABELLED,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,ACCOUNT_SUSPENDED,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,PROVISION_PARTIAL_SUSPENSION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,PROVISION_PARTIAL_TERMINATION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,PROVISION_TOTAL_SUSPENSION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,PROVISION_TOTAL_TERMINATION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,MONETARY_TERMINATION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,MONETARY_SUSPENSION,8463282,0,0.0,0.09124214,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_REMOVED,618295,497135,0.80404176,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_DEMOTED,618295,112654,0.18220105,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,ACCOUNT_TERMINATED,618295,8041,0.01300512,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_DISABLED,618295,444,0.0007181,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,ACCOUNT_SUSPENDED,618295,21,3.396e-05,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,VISIBILITY_OTHER,618295,0,0.0,0.0066658,False
